Row, Timestamp, Series 1, Series 2
0   , 0.304, , 49     
1   , 0.404, , 49     
2   , 0.504, , 46     
3   , 0.604, , 48     
4   , 0.704, , 47     
5   , 0.804, , 48     
6   , 0.904, , 48     
7   , 1.004, , 47     
8   , 1.104, , 34     
9   , 1.204, , 26     
10  , 1.304, , 27     
11  , 1.404, , 42     
12  , 1.504, , 52     
13  , 1.604, , 54     
14  , 1.704, , 56     
15  , 1.806, , 57     
16  , 1.906, , 58     
17  , 2.006, , 59     
18  , 2.106, , 60     
19  , 2.206, , 57     
20  , 2.306, , 40     
21  , 2.406, , 29     
22  , 2.506, , 29     
23  , 2.606, , 35     
24  , 2.706, , 53     
25  , 2.806, , 54     
26  , 2.906, , 52     
27  , 3.006, , 51     
28  , 3.106, , 51     
29  , 3.206, , 50     
30  , 3.306, , 51     
31  , 3.406, , 49     
32  , 3.506, , 44     
33  , 3.606, , 27     
34  , 3.706, , 24     
35  , 3.806, , 25     
36  , 3.906, , 42     
37  , 4.006, , 46     
38  , 4.106, , 46     
39  , 4.206, , 46     
40  , 4.306, , 47     
41  , 4.406, , 46     
42  , 4.506, , 47     
43  , 4.606, , 48     
44  , 4.706, , 47     
45  , 4.806, , 32     
46  , 4.906, , 27     
47  , 5.006, , 27     
48  , 5.106, , 27     
49  , 5.206, , 27     
50  , 5.306, , 28     
51  , 5.406, , 28     
52  , 5.506, , 28     
53  , 5.606, , 27     
54  , 5.706, , 35     
55  , 5.806, , 50     
56  , 5.906, , 52     
57  , 6.006, , 52     
58  , 6.106, , 53     
59  , 6.206, , 49     
60  , 6.306, , 48     
61  , 6.406, , 47     
62  , 6.506, , 48     
63  , 6.606, , 49     
64  , 6.706, , 51     
65  , 6.806, , 52     
